base,layer,head,score_base,score_ppo,delta_induction
200M,2,8,0.01944880373775959,0.020845461636781693,0.0013966578990221024
200M,2,9,0.020771678537130356,0.020028626546263695,-0.0007430519908666611
200M,2,10,0.014633739367127419,0.015487483702600002,0.0008537443354725838
200M,2,11,0.012457308359444141,0.012373159639537334,-8.414871990680695e-05
200M,3,0,0.023881234228610992,0.02370692789554596,-0.00017430633306503296
200M,3,1,0.019519131630659103,0.017012687399983406,-0.0025064442306756973
200M,3,2,0.006893380079418421,0.007235059514641762,0.000341679435223341
200M,3,3,0.021819742396473885,0.022468814626336098,0.0006490722298622131
200M,3,4,0.02051805518567562,0.020605988800525665,8.793361485004425e-05
200M,3,5,0.01736876741051674,0.017030566930770874,-0.00033820047974586487
200M,3,6,0.022841481491923332,0.02190147526562214,-0.0009400062263011932
200M,3,7,0.019559847190976143,0.019880549982190132,0.00032070279121398926
200M,3,8,0.0068565355613827705,0.006738593801856041,-0.00011794175952672958
200M,3,9,0.005836510565131903,0.006426296196877956,0.0005897856317460537
200M,3,10,0.016725249588489532,0.015889590606093407,-0.0008356589823961258
200M,3,11,0.008566046133637428,0.009663863107562065,0.0010978169739246368
200M,4,0,0.019850915297865868,0.019267816096544266,-0.0005830992013216019
200M,4,1,0.021075792610645294,0.02078934572637081,-0.0002864468842744827
200M,4,2,0.0012912130914628506,0.0015811602352187037,0.0002899471437558532
200M,4,3,0.004389235749840736,0.004480243660509586,9.100791066884995e-05
200M,4,4,0.011751987971365452,0.01178915984928608,3.7171877920627594e-05
200M,4,5,0.019103843718767166,0.018018603324890137,-0.0010852403938770294
200M,4,6,0.38382261991500854,0.37897735834121704,-0.004845261573791504
200M,4,7,0.02149592712521553,0.02182643860578537,0.0003305114805698395
200M,4,8,0.01983068324625492,0.019545193761587143,-0.000285489484667778
200M,4,9,0.021457921713590622,0.021394163370132446,-6.375834345817566e-05
200M,4,10,0.010566961020231247,0.009892718866467476,-0.0006742421537637711
200M,4,11,0.005472494289278984,0.006598931737244129,0.0011264374479651451
200M,5,0,0.009231574833393097,0.008906112983822823,-0.00032546184957027435
200M,5,1,0.03415198251605034,0.03435990586876869,0.00020792335271835327
200M,5,2,0.020907875150442123,0.02077789418399334,-0.00012998096644878387
200M,5,3,0.006508498452603817,0.007406255230307579,0.0008977567777037621
200M,5,4,0.019904980435967445,0.020045844838023186,0.00014086440205574036
200M,5,5,0.003796900622546673,0.004573647398501635,0.0007767467759549618
200M,5,6,0.006641004700213671,0.007595119532197714,0.0009541148319840431
200M,5,7,0.02058396115899086,0.02136082388460636,0.0007768627256155014
200M,5,8,0.004588013514876366,0.005619608331471682,0.001031594816595316
200M,5,9,0.0056218369863927364,0.007300451397895813,0.0016786144115030766
200M,5,10,0.024210670962929726,0.02581781893968582,0.0016071479767560959
200M,5,11,0.02178625762462616,0.022864850237965584,0.0010785926133394241
200M,6,0,0.004959729965776205,0.006068812217563391,0.0011090822517871857
200M,6,1,0.00827321968972683,0.007843692786991596,-0.0004295269027352333
200M,6,2,0.019854936748743057,0.020379051566123962,0.0005241148173809052
200M,6,3,0.03697039559483528,0.03593214973807335,-0.0010382458567619324
200M,6,4,0.016505243256688118,0.01608401909470558,-0.0004212241619825363
200M,6,5,0.019157595932483673,0.018231406807899475,-0.000926189124584198
200M,6,6,0.01602548360824585,0.015014156699180603,-0.0010113269090652466
200M,6,7,0.002751094289124012,0.0038946198765188456,0.0011435255873948336
200M,6,8,0.0231362022459507,0.022394048050045967,-0.0007421541959047318
200M,6,9,0.022366508841514587,0.022796357050538063,0.00042984820902347565
200M,6,10,0.01594529114663601,0.01561704557389021,-0.0003282455727458
200M,6,11,0.006292137783020735,0.008278981782495975,0.0019868439994752407
200M,7,0,0.022023215889930725,0.022281546145677567,0.00025833025574684143
200M,7,1,0.012547343969345093,0.013359910808503628,0.000812566839158535
200M,7,2,0.011158988811075687,0.01356270257383585,0.0024037137627601624
200M,7,3,0.02478617988526821,0.0237832423299551,-0.0010029375553131104
200M,7,4,0.022644661366939545,0.023112643510103226,0.00046798214316368103
200M,7,5,0.018781090155243874,0.016566621139645576,-0.002214469015598297
200M,7,6,0.3943687975406647,0.3899267017841339,-0.004442095756530762
200M,7,7,0.02457290329039097,0.02573896385729313,0.0011660605669021606
200M,7,8,0.01112154871225357,0.011239547282457352,0.00011799857020378113
200M,7,9,0.042632028460502625,0.0369376614689827,-0.005694366991519928
200M,7,10,0.021206840872764587,0.02138681709766388,0.000179976224899292
200M,7,11,0.0200452022254467,0.01980890892446041,-0.00023629330098628998
200M,8,0,0.5626903772354126,0.5413258075714111,-0.021364569664001465
200M,8,1,0.07227127254009247,0.07215243577957153,-0.00011883676052093506
200M,8,2,0.027048716321587563,0.028164057061076164,0.0011153407394886017
200M,8,3,0.3970283567905426,0.39742377400398254,0.0003954172134399414
200M,8,4,0.026607559993863106,0.0254687312990427,-0.001138828694820404
200M,8,5,0.022935746237635612,0.020049894228577614,-0.0028858520090579987
200M,8,6,0.1461523175239563,0.1521744728088379,0.006022155284881592
200M,8,7,0.015500002540647984,0.01530495099723339,-0.00019505154341459274
