checkpoint,layer,head,entropy
1000M,1,11,2.3583221435546875
1000M,2,0,2.2019309997558594
1000M,2,1,1.912757158279419
1000M,2,2,2.354557752609253
1000M,2,3,0.9542946815490723
1000M,2,4,1.7288230657577515
1000M,2,5,2.322436809539795
1000M,2,6,1.7666618824005127
1000M,2,7,2.1552822589874268
1000M,2,8,2.1011881828308105
1000M,2,9,2.186161518096924
1000M,2,10,2.0106313228607178
1000M,2,11,1.8044958114624023
1000M,3,0,1.5293023586273193
1000M,3,1,1.523402214050293
1000M,3,2,2.1689059734344482
1000M,3,3,2.211019515991211
1000M,3,4,1.8949644565582275
1000M,3,5,2.0496950149536133
1000M,3,6,1.7962305545806885
1000M,3,7,2.168508768081665
1000M,3,8,1.9263384342193604
1000M,3,9,1.814051628112793
1000M,3,10,1.8638203144073486
1000M,3,11,1.9436708688735962
1000M,4,0,1.884291410446167
1000M,4,1,1.5260140895843506
1000M,4,2,0.1301954835653305
1000M,4,3,2.1065855026245117
1000M,4,4,2.022040843963623
1000M,4,5,2.133049488067627
1000M,4,6,0.7965773344039917
1000M,4,7,1.9754421710968018
1000M,4,8,2.09641170501709
1000M,4,9,2.2764484882354736
1000M,4,10,1.2997348308563232
1000M,4,11,2.109182834625244
1000M,5,0,1.8674678802490234
1000M,5,1,1.7297170162200928
1000M,5,2,2.1470227241516113
1000M,5,3,1.5759347677230835
1000M,5,4,1.921555757522583
1000M,5,5,1.98932683467865
1000M,5,6,1.9264341592788696
1000M,5,7,1.9241374731063843
1000M,5,8,1.2030785083770752
1000M,5,9,1.5018541812896729
1000M,5,10,1.6730962991714478
1000M,5,11,2.0886025428771973
1000M,6,0,1.2518867254257202
1000M,6,1,1.2168182134628296
1000M,6,2,1.8325412273406982
1000M,6,3,1.8873436450958252
1000M,6,4,1.3815598487854004
1000M,6,5,1.6595547199249268
1000M,6,6,1.8754961490631104
1000M,6,7,1.1490944623947144
1000M,6,8,1.8327840566635132
1000M,6,9,2.2017624378204346
1000M,6,10,1.8073886632919312
1000M,6,11,1.1150447130203247
1000M,7,0,1.8900352716445923
1000M,7,1,1.725439429283142
1000M,7,2,2.005369186401367
1000M,7,3,1.614006757736206
1000M,7,4,2.0363645553588867
1000M,7,5,1.2538172006607056
1000M,7,6,1.0874751806259155
1000M,7,7,1.3193202018737793
1000M,7,8,1.639326810836792
1000M,7,9,1.6849546432495117
1000M,7,10,1.7542232275009155
1000M,7,11,1.3183977603912354
1000M,8,0,0.33871716260910034
1000M,8,1,1.5960733890533447
1000M,8,2,2.0477378368377686
1000M,8,3,1.4821962118148804
1000M,8,4,1.4198839664459229
1000M,8,5,1.827690839767456
1000M,8,6,1.3555883169174194
1000M,8,7,1.6683237552642822
1000M,8,8,0.3403257429599762
1000M,8,9,1.6960017681121826
1000M,8,10,1.183005452156067
1000M,8,11,1.8554025888442993
1000M,9,0,1.2896356582641602
1000M,9,1,1.694358229637146
1000M,9,2,1.26677668094635
1000M,9,3,1.4633827209472656
1000M,9,4,1.4515049457550049
1000M,9,5,1.1972405910491943
1000M,9,6,1.7453197240829468
1000M,9,7,1.724058747291565
1000M,9,8,1.8024685382843018
1000M,9,9,1.3251793384552002
1000M,9,10,1.4566693305969238
1000M,9,11,1.463580846786499
1000M,10,0,2.0331454277038574
1000M,10,1,1.9786370992660522
1000M,10,2,1.93436598777771
1000M,10,3,1.7501890659332275
1000M,10,4,1.3612525463104248
1000M,10,5,1.7659351825714111
1000M,10,6,1.6857669353485107
1000M,10,7,1.6484285593032837
1000M,10,8,1.7876379489898682
1000M,10,9,1.720136046409607
1000M,10,10,1.6968319416046143
1000M,10,11,1.8024110794067383
1000M,11,0,2.1739792823791504
1000M,11,1,1.8012514114379883
1000M,11,2,1.9819087982177734
1000M,11,3,1.7706083059310913
1000M,11,4,1.8119862079620361
1000M,11,5,2.105032444000244
1000M,11,6,1.9911153316497803
1000M,11,7,2.056673526763916
1000M,11,8,2.0205650329589844
1000M,11,9,1.804469108581543
1000M,11,10,2.0523905754089355
1000M,11,11,1.4761654138565063
