checkpoint,layer,head,entropy
20M,5,2,2.4319560527801514
20M,5,3,2.434445858001709
20M,5,4,2.485093593597412
20M,5,5,2.516180992126465
20M,5,6,2.4337141513824463
20M,5,7,2.47613525390625
20M,5,8,2.3425216674804688
20M,5,9,2.294840097427368
20M,5,10,2.5834579467773438
20M,5,11,2.4743316173553467
20M,6,0,2.298434019088745
20M,6,1,2.3105380535125732
20M,6,2,2.3640408515930176
20M,6,3,1.726320505142212
20M,6,4,1.8616998195648193
20M,6,5,2.494324207305908
20M,6,6,1.9622631072998047
20M,6,7,1.666597604751587
20M,6,8,2.4534411430358887
20M,6,9,2.5387611389160156
20M,6,10,2.3732428550720215
20M,6,11,2.322216033935547
20M,7,0,2.5301616191864014
20M,7,1,2.447840929031372
20M,7,2,2.25510573387146
20M,7,3,2.482524871826172
20M,7,4,1.7921266555786133
20M,7,5,1.9326324462890625
20M,7,6,2.2050106525421143
20M,7,7,2.302248239517212
20M,7,8,2.1820740699768066
20M,7,9,2.415804147720337
20M,7,10,2.5606963634490967
20M,7,11,2.5475220680236816
20M,8,0,2.5979630947113037
20M,8,1,2.4505226612091064
20M,8,2,1.160153865814209
20M,8,3,2.403625965118408
20M,8,4,1.4864431619644165
20M,8,5,1.8676815032958984
20M,8,6,2.4632973670959473
20M,8,7,2.319251775741577
20M,8,8,2.3590011596679688
20M,8,9,0.9064775705337524
20M,8,10,2.092297077178955
20M,8,11,1.4096617698669434
20M,9,0,2.4811882972717285
20M,9,1,2.447162389755249
20M,9,2,2.075563907623291
20M,9,3,1.9635603427886963
20M,9,4,2.0585103034973145
20M,9,5,1.7969415187835693
20M,9,6,1.7482635974884033
20M,9,7,1.6222851276397705
20M,9,8,2.245544672012329
20M,9,9,2.4361586570739746
20M,9,10,2.5573999881744385
20M,9,11,2.152468681335449
20M,10,0,2.5718510150909424
20M,10,1,2.3332600593566895
20M,10,2,1.9749290943145752
20M,10,3,2.1462771892547607
20M,10,4,1.9527065753936768
20M,10,5,1.916975736618042
20M,10,6,1.8645296096801758
20M,10,7,2.2867634296417236
20M,10,8,2.156531810760498
20M,10,9,2.5491604804992676
20M,10,10,2.5396597385406494
20M,10,11,2.461810350418091
20M,11,0,2.5204825401306152
20M,11,1,2.0679917335510254
20M,11,2,2.153876781463623
20M,11,3,2.3006389141082764
20M,11,4,1.3851546049118042
20M,11,5,0.8784152865409851
20M,11,6,2.339125156402588
20M,11,7,2.178157091140747
20M,11,8,2.1420350074768066
20M,11,9,2.1101999282836914
20M,11,10,2.474254846572876
20M,11,11,1.3180766105651855
50M,0,0,2.4106364250183105
50M,0,1,2.4722397327423096
50M,0,2,1.9913747310638428
50M,0,3,2.4427337646484375
50M,0,4,2.364624500274658
50M,0,5,1.6856811046600342
50M,0,6,2.4693942070007324
50M,0,7,2.5502355098724365
50M,0,8,2.083012819290161
50M,0,9,2.5541751384735107
50M,0,10,2.4973998069763184
50M,0,11,2.0555272102355957
50M,1,0,2.2797703742980957
50M,1,1,2.2975540161132812
50M,1,2,2.187462091445923
50M,1,3,2.420403480529785
50M,1,4,1.3383289575576782
50M,1,5,1.8191773891448975
50M,1,6,2.4202182292938232
50M,1,7,2.1250052452087402
50M,1,8,2.203535318374634
50M,1,9,1.4482814073562622
50M,1,10,1.9546287059783936
50M,1,11,2.3607535362243652
50M,2,0,1.7768112421035767
50M,2,1,1.6791095733642578
50M,2,2,2.2603559494018555
50M,2,3,1.6238384246826172
50M,2,4,1.9630762338638306
50M,2,5,2.042168617248535
50M,2,6,1.4390504360198975
50M,2,7,2.1673545837402344
50M,2,8,1.7724441289901733
50M,2,9,2.437422037124634
50M,2,10,2.0198612213134766
50M,2,11,2.1569085121154785
50M,3,0,2.17744517326355
50M,3,1,1.2307956218719482
50M,3,2,1.8017219305038452
50M,3,3,1.657035231590271
50M,3,4,2.131974220275879
50M,3,5,2.201941967010498
50M,3,6,1.723301887512207
50M,3,7,2.186272621154785
50M,3,8,1.7250617742538452
50M,3,9,1.5342333316802979
50M,3,10,1.9462305307388306
50M,3,11,1.9679288864135742
50M,4,0,2.1086153984069824
50M,4,1,2.195952892303467
50M,4,2,1.862073302268982
50M,4,3,2.021385669708252
50M,4,4,1.7367115020751953
50M,4,5,2.1297459602355957
50M,4,6,2.1572694778442383
50M,4,7,1.8880332708358765
50M,4,8,1.8311936855316162
50M,4,9,2.1154098510742188
50M,4,10,1.9237829446792603
50M,4,11,2.1142947673797607
50M,5,0,1.53673255443573
50M,5,1,1.2366745471954346
50M,5,2,1.9571559429168701
50M,5,3,1.4768097400665283
50M,5,4,1.5487451553344727
50M,5,5,1.4710485935211182
50M,5,6,1.9590911865234375
50M,5,7,2.1791326999664307
50M,5,8,1.6428823471069336
50M,5,9,1.5545504093170166
50M,5,10,2.1351523399353027
50M,5,11,2.0737204551696777
50M,6,0,1.435260534286499
50M,6,1,2.006906747817993
50M,6,2,1.6515556573867798
50M,6,3,2.1450815200805664
50M,6,4,1.9925289154052734
50M,6,5,2.160677433013916
50M,6,6,2.0077996253967285
50M,6,7,1.3317327499389648
50M,6,8,1.833939552307129
50M,6,9,1.735925316810608
50M,6,10,1.8925224542617798
50M,6,11,1.2055232524871826
50M,7,0,1.8728435039520264
50M,7,1,1.820389986038208
50M,7,2,2.146446704864502
50M,7,3,1.8171119689941406
50M,7,4,2.365044355392456
50M,7,5,2.067082405090332
50M,7,6,1.7485030889511108
50M,7,7,1.383359432220459
50M,7,8,1.35297691822052
50M,7,9,2.03245210647583
50M,7,10,1.5480501651763916
50M,7,11,1.8984496593475342
50M,8,0,2.117727756500244
50M,8,1,1.7295271158218384
50M,8,2,1.7057374715805054
50M,8,3,2.0031676292419434
50M,8,4,1.349740743637085
50M,8,5,1.4509251117706299
50M,8,6,2.0672554969787598
50M,8,7,1.8295129537582397
50M,8,8,1.0975130796432495
50M,8,9,1.5959467887878418
50M,8,10,1.7657034397125244
50M,8,11,1.7505710124969482
50M,9,0,2.054762125015259
50M,9,1,2.124788284301758
50M,9,2,1.6639139652252197
50M,9,3,1.9869859218597412
50M,9,4,1.208082914352417
50M,9,5,1.0683954954147339
50M,9,6,1.3463226556777954
50M,9,7,1.7029340267181396
50M,9,8,1.707474708557129
50M,9,9,1.428524374961853
50M,9,10,2.0985524654388428
50M,9,11,1.6067463159561157
50M,10,0,2.230733871459961
50M,10,1,2.266183376312256
50M,10,2,1.1803722381591797
50M,10,3,2.0657706260681152
50M,10,4,1.8640997409820557
50M,10,5,1.3218780755996704
50M,10,6,1.5641876459121704
50M,10,7,1.63673996925354
50M,10,8,1.9922758340835571
50M,10,9,2.2889773845672607
50M,10,10,2.198615550994873
50M,10,11,1.7826426029205322
50M,11,0,1.9546140432357788
50M,11,1,1.8724515438079834
50M,11,2,1.8794639110565186
50M,11,3,2.122002124786377
50M,11,4,1.5185940265655518
50M,11,5,2.0642080307006836
50M,11,6,2.140578031539917
50M,11,7,2.332324504852295
50M,11,8,2.1481740474700928
50M,11,9,1.8516263961791992
50M,11,10,2.2947375774383545
50M,11,11,1.6499745845794678
60M,0,0,2.4051353931427
60M,0,1,2.495558261871338
60M,0,2,1.9752486944198608
60M,0,3,2.4303765296936035
60M,0,4,2.3329243659973145
60M,0,5,1.6934324502944946
60M,0,6,2.385812997817993
60M,0,7,2.5220439434051514
60M,0,8,2.005265712738037
60M,0,9,2.555420398712158
60M,0,10,2.503288745880127
60M,0,11,1.9669688940048218
60M,1,0,2.2366816997528076
60M,1,1,2.356898546218872
60M,1,2,2.267531633377075
60M,1,3,2.4136834144592285
60M,1,4,1.4251124858856201
60M,1,5,1.9841142892837524
60M,1,6,2.398171901702881
60M,1,7,2.2446417808532715
60M,1,8,2.25976300239563
60M,1,9,1.4477043151855469
60M,1,10,2.1287295818328857
60M,1,11,2.1692147254943848
60M,2,0,2.02897310256958
60M,2,1,1.7647937536239624
60M,2,2,2.3389430046081543
60M,2,3,1.7490737438201904
60M,2,4,2.038592576980591
60M,2,5,2.0940051078796387
60M,2,6,1.501453161239624
60M,2,7,2.2624435424804688
60M,2,8,1.9808986186981201
60M,2,9,2.3333888053894043
60M,2,10,2.2731337547302246
60M,2,11,2.1245758533477783
60M,3,0,2.1333634853363037
60M,3,1,1.2770037651062012
60M,3,2,1.994729995727539
60M,3,3,1.9200477600097656
60M,3,4,2.2082624435424805
60M,3,5,2.2676265239715576
60M,3,6,1.7044769525527954
60M,3,7,2.1387486457824707
60M,3,8,1.881638765335083
60M,3,9,1.680945634841919
60M,3,10,2.1491870880126953
60M,3,11,2.1185412406921387
60M,4,0,1.6649103164672852
60M,4,1,2.2322213649749756
60M,4,2,2.1228156089782715
60M,4,3,2.115494966506958
60M,4,4,1.9095815420150757
60M,4,5,2.100304126739502
60M,4,6,2.2516982555389404
60M,4,7,2.0780372619628906
60M,4,8,1.810687780380249
60M,4,9,2.0876381397247314
60M,4,10,1.6560512781143188
60M,4,11,2.033261775970459
60M,5,0,1.781988501548767
60M,5,1,1.0180110931396484
60M,5,2,2.1229617595672607
60M,5,3,1.6235735416412354
60M,5,4,1.5877197980880737
60M,5,5,1.6403363943099976
60M,5,6,2.128743886947632
60M,5,7,2.1352832317352295
60M,5,8,1.4954336881637573
60M,5,9,1.6362998485565186
60M,5,10,2.144125461578369
60M,5,11,1.9533309936523438
60M,6,0,1.4917848110198975
60M,6,1,2.2758755683898926
60M,6,2,1.7070907354354858
60M,6,3,1.987293004989624
60M,6,4,1.9207398891448975
60M,6,5,2.189014434814453
60M,6,6,2.208425998687744
60M,6,7,1.537762999534607
60M,6,8,1.8091442584991455
60M,6,9,2.0103516578674316
60M,6,10,1.9828605651855469
60M,6,11,1.3923566341400146
60M,7,0,1.620867371559143
60M,7,1,1.7678409814834595
60M,7,2,2.0761618614196777
60M,7,3,1.6988664865493774
60M,7,4,2.4144365787506104
60M,7,5,2.328889846801758
60M,7,6,1.5866327285766602
60M,7,7,1.19920015335083
60M,7,8,1.717346429824829
60M,7,9,2.083747148513794
60M,7,10,1.744106650352478
60M,7,11,1.668663740158081
60M,8,0,1.7190033197402954
60M,8,1,1.7385181188583374
60M,8,2,1.8013267517089844
60M,8,3,1.9209016561508179
60M,8,4,1.2613445520401
60M,8,5,1.4679441452026367
60M,8,6,2.1538586616516113
60M,8,7,1.865282654762268
60M,8,8,0.7965867519378662
60M,8,9,1.7177772521972656
60M,8,10,1.7564359903335571
