checkpoint,layer,head,dla_contribution
10M,5,4,0.00015997004811652005
10M,5,5,-0.0029363580979406834
10M,5,6,0.0002634546981425956
10M,5,7,0.0008557321853004396
10M,5,8,0.002929044800112024
10M,5,9,0.0023103557323338464
10M,5,10,0.0028233750781510025
10M,5,11,0.0004859405162278563
10M,6,0,0.001661040703766048
10M,6,1,-0.0019307807087898254
10M,6,2,0.0014542892458848655
10M,6,3,0.0004405707040859852
10M,6,4,0.0018502066523069516
10M,6,5,0.0012739816738758236
10M,6,6,0.0006966194487176836
10M,6,7,-0.0008604689355706796
10M,6,8,0.0010381931788288057
10M,6,9,0.0008707864908501506
10M,6,10,0.0016278126277029514
10M,6,11,0.00020846433471888304
10M,7,0,-0.0002902823907788843
10M,7,1,0.0010408388334326446
10M,7,2,-0.001771711016772315
10M,7,3,0.0027063045417889953
10M,7,4,-0.002262256690301001
10M,7,5,-0.003953893290599808
10M,7,6,0.0029662703454960138
10M,7,7,0.001947209078934975
10M,7,8,-0.0010377281723776832
10M,7,9,0.0004849786637350917
10M,7,10,-0.0013152212341083214
10M,7,11,-0.0017623252933844924
10M,8,0,1.8603750504553318e-06
10M,8,1,0.0011113699001725763
10M,8,2,-0.0010691982897697017
10M,8,3,0.0023412638693116605
10M,8,4,-0.0002780973445624113
10M,8,5,-0.0009841216960921884
10M,8,6,0.0024092766107060015
10M,8,7,0.002654936339240521
10M,8,8,0.0005241029866738245
10M,8,9,0.0020123670692555606
10M,8,10,0.001602432457730174
10M,8,11,-0.0009372242202516645
10M,9,0,0.002618193655507639
10M,9,1,-0.0008961663406807929
10M,9,2,-0.0003321753756608814
10M,9,3,0.003031659231055528
10M,9,4,0.0017351498536299914
10M,9,5,0.0013167999422876164
10M,9,6,0.0011465098068583757
10M,9,7,0.0014838847710052505
10M,9,8,0.0019693357753567398
10M,9,9,0.00312287884298712
10M,9,10,-0.0002149503561668098
10M,9,11,0.00015632329450454563
10M,10,0,0.00039207778172567487
10M,10,1,0.001745210262015462
10M,10,2,0.0006176486203912646
10M,10,3,0.0022872999543324113
10M,10,4,-0.0008412611787207425
10M,10,5,-0.0014373776502907276
10M,10,6,0.0008983829757198691
10M,10,7,0.0018758847145363688
10M,10,8,-0.0007867735985200852
10M,10,9,-0.00042714300798252225
10M,10,10,0.00037916505243629217
10M,10,11,0.002357533317990601
10M,11,0,0.001532456517452374
10M,11,1,0.00030549001530744135
10M,11,2,-0.003739049774594605
