layer,head,dla_contribution,probe,checkpoint
0,2,-0.000639179430436343,king/queen,10M
0,3,0.00041123153641819954,king/queen,10M
0,4,0.0005638651782646775,king/queen,10M
0,5,-0.0011025723069906235,king/queen,10M
0,6,-0.0017605703324079514,king/queen,10M
0,7,-0.0006200914504006505,king/queen,10M
0,8,0.000960206612944603,king/queen,10M
0,9,0.00086583336815238,king/queen,10M
0,10,0.0011948293540626764,king/queen,10M
0,11,0.0013186873402446508,king/queen,10M
1,0,0.004522125236690044,king/queen,10M
1,1,0.004924306645989418,king/queen,10M
1,2,0.0027130786329507828,king/queen,10M
1,3,0.00691277626901865,king/queen,10M
1,4,0.0006685527041554451,king/queen,10M
1,5,-0.006621405016630888,king/queen,10M
1,6,-0.0014139886479824781,king/queen,10M
1,7,-0.009279025718569756,king/queen,10M
1,8,0.005934881512075663,king/queen,10M
1,9,0.007178633939474821,king/queen,10M
1,10,0.0029964393470436335,king/queen,10M
1,11,0.007421657908707857,king/queen,10M
2,0,0.0010705054737627506,king/queen,10M
2,1,-0.0014490003231912851,king/queen,10M
2,2,0.007922980934381485,king/queen,10M
2,3,0.006245477125048637,king/queen,10M
2,4,0.006908061448484659,king/queen,10M
2,5,0.0028137655463069677,king/queen,10M
2,6,0.004334568977355957,king/queen,10M
2,7,0.005290662869811058,king/queen,10M
2,8,0.0023512872867286205,king/queen,10M
2,9,0.005222448613494635,king/queen,10M
2,10,0.0028453462291508913,king/queen,10M
2,11,0.0031811269000172615,king/queen,10M
3,0,-0.0020645803306251764,king/queen,10M
3,1,-0.0029661930166184902,king/queen,10M
3,2,-0.001600334420800209,king/queen,10M
3,3,-0.0048879156820476055,king/queen,10M
3,4,0.002706642961129546,king/queen,10M
3,5,-0.0035889027640223503,king/queen,10M
3,6,0.00015045586042106152,king/queen,10M
3,7,-0.0004200905095785856,king/queen,10M
3,8,0.0018384747672826052,king/queen,10M
3,9,-0.0005185410846024752,king/queen,10M
3,10,-0.000680251163430512,king/queen,10M
3,11,0.002166680758818984,king/queen,10M
4,0,0.0021652854047715664,king/queen,10M
4,1,-7.445970550179482e-05,king/queen,10M
4,2,-0.005582070909440517,king/queen,10M
4,3,-0.005542871542274952,king/queen,10M
4,4,-0.0013624131679534912,king/queen,10M
4,5,-0.004694018047302961,king/queen,10M
4,6,0.006568241864442825,king/queen,10M
4,7,-0.0022354573011398315,king/queen,10M
4,8,-0.0013413061387836933,king/queen,10M
4,9,-0.0035422719083726406,king/queen,10M
4,10,0.00512740109115839,king/queen,10M
4,11,-0.001520813792012632,king/queen,10M
5,0,-0.00412901071831584,king/queen,10M
5,1,-0.0042533911764621735,king/queen,10M
5,2,-0.0024887253530323505,king/queen,10M
5,3,0.0013096960028633475,king/queen,10M
5,4,0.002289718249812722,king/queen,10M
5,5,-0.00775690795853734,king/queen,10M
5,6,-0.0003695139894261956,king/queen,10M
5,7,-0.0012055709958076477,king/queen,10M
5,8,0.00021746032871305943,king/queen,10M
5,9,0.0029196920804679394,king/queen,10M
5,10,0.0013903510989621282,king/queen,10M
5,11,0.002601994201540947,king/queen,10M
6,0,0.00408064853399992,king/queen,10M
6,1,-0.002502478426322341,king/queen,10M
6,2,-0.0014646472409367561,king/queen,10M
6,3,0.002669005189090967,king/queen,10M
6,4,-0.0006694328039884567,king/queen,10M
6,5,0.003700524102896452,king/queen,10M
6,6,0.002631991170346737,king/queen,10M
6,7,-0.002622070722281933,king/queen,10M
6,8,-0.002409763867035508,king/queen,10M
6,9,-0.004255394451320171,king/queen,10M
6,10,0.002379042562097311,king/queen,10M
6,11,0.0012731008464470506,king/queen,10M
7,0,0.003395307343453169,king/queen,10M
7,1,-0.009297863580286503,king/queen,10M
7,2,0.0014275307767093182,king/queen,10M
7,3,0.0005689541576430202,king/queen,10M
7,4,-0.012337014079093933,king/queen,10M
7,5,-0.0009204841917380691,king/queen,10M
7,6,0.0038485813420265913,king/queen,10M
7,7,0.002604144159704447,king/queen,10M
7,8,-0.0008143671439029276,king/queen,10M
7,9,0.0015684645622968674,king/queen,10M
7,10,0.0011013722978532314,king/queen,10M
7,11,-0.0028243898414075375,king/queen,10M
8,0,-0.002200551563873887,king/queen,10M
8,1,-0.002333564916625619,king/queen,10M
8,2,-0.0006571600097231567,king/queen,10M
