checkpoint,layer,head,entropy
20M,2,5,2.249950408935547
20M,2,6,2.3297059535980225
20M,2,7,2.429201126098633
20M,2,8,2.1116745471954346
20M,2,9,2.492950916290283
20M,2,10,2.482913017272949
20M,2,11,1.9893893003463745
20M,3,0,1.3054448366165161
20M,3,1,2.4326932430267334
20M,3,2,1.844630479812622
20M,3,3,2.2738196849823
20M,3,4,2.576714038848877
20M,3,5,1.951621413230896
20M,3,6,2.514355421066284
20M,3,7,2.4083619117736816
20M,3,8,1.6411702632904053
20M,3,9,2.451770782470703
20M,3,10,2.2143523693084717
20M,3,11,2.3311848640441895
20M,4,0,2.55702543258667
20M,4,1,2.1860594749450684
20M,4,2,2.4870340824127197
20M,4,3,2.562969923019409
20M,4,4,2.546971321105957
20M,4,5,2.458622932434082
20M,4,6,2.4768450260162354
20M,4,7,2.2513396739959717
20M,4,8,2.3918490409851074
20M,4,9,1.823107123374939
20M,4,10,2.4914348125457764
20M,4,11,2.4883854389190674
20M,5,0,2.0365684032440186
20M,5,1,2.550706148147583
20M,5,2,2.2972216606140137
20M,5,3,2.50156831741333
20M,5,4,2.5404226779937744
20M,5,5,2.3505420684814453
20M,5,6,2.5924694538116455
20M,5,7,2.502617835998535
20M,5,8,2.4896011352539062
20M,5,9,2.460893154144287
20M,5,10,2.5905354022979736
20M,5,11,2.544320583343506
20M,6,0,2.29118013381958
20M,6,1,2.5735700130462646
20M,6,2,2.327362537384033
20M,6,3,2.375171661376953
20M,6,4,1.0374646186828613
20M,6,5,2.1057026386260986
20M,6,6,1.8304216861724854
20M,6,7,2.367994546890259
20M,6,8,2.2052299976348877
20M,6,9,2.6114048957824707
20M,6,10,2.055994749069214
20M,6,11,2.157378911972046
20M,7,0,2.321833372116089
20M,7,1,2.596724510192871
20M,7,2,2.5182700157165527
20M,7,3,2.502739191055298
20M,7,4,1.3611012697219849
20M,7,5,1.9331750869750977
20M,7,6,2.0723161697387695
20M,7,7,1.9352940320968628
20M,7,8,2.455613374710083
20M,7,9,2.3899104595184326
20M,7,10,2.502535343170166
20M,7,11,2.6256601810455322
20M,8,0,2.4924283027648926
20M,8,1,1.8728896379470825
20M,8,2,2.1894636154174805
20M,8,3,2.522822618484497
20M,8,4,1.0678309202194214
20M,8,5,1.930527925491333
20M,8,6,2.576230764389038
20M,8,7,2.6087663173675537
20M,8,8,1.9749959707260132
20M,8,9,2.0020391941070557
20M,8,10,2.389482259750366
20M,8,11,1.5362690687179565
20M,9,0,2.596703052520752
20M,9,1,2.355675458908081
20M,9,2,2.31088924407959
20M,9,3,1.9292478561401367
20M,9,4,2.385986089706421
20M,9,5,1.9922125339508057
20M,9,6,2.2896151542663574
20M,9,7,1.8462591171264648
20M,9,8,2.5713822841644287
20M,9,9,2.3590290546417236
20M,9,10,2.630378484725952
20M,9,11,2.4484493732452393
20M,10,0,2.588743209838867
20M,10,1,2.517821788787842
20M,10,2,2.441401243209839
20M,10,3,2.5403449535369873
20M,10,4,2.4196040630340576
20M,10,5,2.526681900024414
20M,10,6,1.9010732173919678
20M,10,7,2.5465757846832275
20M,10,8,2.100679397583008
20M,10,9,2.542215585708618
20M,10,10,2.483880043029785
20M,10,11,2.612833023071289
20M,11,0,2.560448408126831
20M,11,1,2.233240842819214
20M,11,2,2.555838108062744
20M,11,3,2.535470724105835
20M,11,4,1.4304347038269043
20M,11,5,1.6958820819854736
20M,11,6,2.413115978240967
20M,11,7,2.5719001293182373
20M,11,8,2.520479917526245
20M,11,9,2.3597352504730225
20M,11,10,2.528846502304077
20M,11,11,2.305279016494751
50M,0,0,2.4141998291015625
50M,0,1,2.5267698764801025
50M,0,2,1.8475309610366821
50M,0,3,2.375502586364746
50M,0,4,2.2951607704162598
50M,0,5,1.639286756515503
50M,0,6,2.3102872371673584
50M,0,7,2.541074275970459
50M,0,8,2.095923900604248
50M,0,9,2.543752908706665
50M,0,10,2.564363718032837
50M,0,11,1.804943561553955
50M,1,0,2.284658908843994
50M,1,1,2.495396137237549
50M,1,2,2.0935964584350586
50M,1,3,2.3750298023223877
50M,1,4,0.5523188710212708
50M,1,5,1.995185136795044
50M,1,6,2.463089942932129
50M,1,7,1.9772002696990967
50M,1,8,2.1427195072174072
50M,1,9,2.15960431098938
50M,1,10,1.891131043434143
50M,1,11,2.5100080966949463
50M,2,0,1.8697198629379272
