checkpoint,layer,head,dla_score
200M,11,9,-0.011147063225507736
200M,11,10,0.007441507652401924
200M,11,11,-0.029299242421984673
1000M,0,0,0.0019991369917988777
1000M,0,1,0.0005429828888736665
1000M,0,2,-0.0027294415049254894
1000M,0,3,-0.006417898461222649
1000M,0,4,0.01524046529084444
1000M,0,5,0.00013229117030277848
1000M,0,6,0.009042168967425823
1000M,0,7,-0.0004802716721314937
1000M,0,8,-0.007425392046570778
1000M,0,9,0.0008852199534885585
1000M,0,10,0.0041944244876503944
1000M,0,11,0.006523072719573975
1000M,1,0,-0.026051223278045654
1000M,1,1,-0.02455359324812889
1000M,1,2,-0.016997085884213448
1000M,1,3,0.003876257222145796
1000M,1,4,0.02531673200428486
1000M,1,5,0.01493219193071127
1000M,1,6,0.015512770973145962
1000M,1,7,-0.015127594582736492
1000M,1,8,0.0007731302175670862
1000M,1,9,0.004582696594297886
1000M,1,10,-0.02008381113409996
1000M,1,11,-0.022646905854344368
1000M,2,0,-0.035114824771881104
1000M,2,1,-0.02476455830037594
1000M,2,2,0.005036056041717529
1000M,2,3,0.013851949013769627
1000M,2,4,0.015539164654910564
1000M,2,5,-0.019271953031420708
1000M,2,6,-0.0146920932456851
1000M,2,7,-0.0586775541305542
1000M,2,8,0.012476790696382523
1000M,2,9,-0.018108196556568146
1000M,2,10,-0.025227420032024384
1000M,2,11,-0.010516194626688957
1000M,3,0,-0.026317603886127472
1000M,3,1,-0.030399398878216743
1000M,3,2,0.005261147394776344
1000M,3,3,-0.020280592143535614
1000M,3,4,-0.02172107808291912
1000M,3,5,-0.006002290174365044
1000M,3,6,0.0037536248564720154
1000M,3,7,-0.024833329021930695
1000M,3,8,0.016782017424702644
1000M,3,9,-0.037646159529685974
1000M,3,10,-0.04780084267258644
1000M,3,11,-0.009838704019784927
1000M,4,0,0.013771445490419865
1000M,4,1,0.011681662872433662
1000M,4,2,-0.03416849300265312
1000M,4,3,0.004268043674528599
1000M,4,4,0.02807747945189476
1000M,4,5,-0.021135039627552032
1000M,4,6,-0.2568987011909485
1000M,4,7,-0.00018674301099963486
1000M,4,8,-0.010840730741620064
1000M,4,9,0.01870325393974781
1000M,4,10,-0.004650491755455732
1000M,4,11,-0.0036956353578716516
1000M,5,0,-0.02777775377035141
1000M,5,1,-0.006604827009141445
1000M,5,2,-0.00601343996822834
1000M,5,3,-0.13829797506332397
1000M,5,4,0.026758335530757904
1000M,5,5,-0.00962947215884924
1000M,5,6,-0.08383110910654068
1000M,5,7,0.0014339196495711803
1000M,5,8,0.013637148775160313
1000M,5,9,0.03635917603969574
1000M,5,10,-0.012081293389201164
1000M,5,11,-0.04189426079392433
1000M,6,0,-0.06005024164915085
1000M,6,1,0.0050596860237419605
1000M,6,2,-0.013628317043185234
1000M,6,3,-0.09126518666744232
1000M,6,4,0.06807847321033478
1000M,6,5,-0.007287513930350542
1000M,6,6,-0.0012138767633587122
1000M,6,7,-0.05172501876950264
1000M,6,8,-0.02734208106994629
1000M,6,9,-0.024942928925156593
1000M,6,10,0.00785344373434782
1000M,6,11,0.007398203015327454
1000M,7,0,-0.01347154751420021
1000M,7,1,0.04805300757288933
1000M,7,2,0.004497584421187639
1000M,7,3,-0.156106635928154
1000M,7,4,0.03296782448887825
1000M,7,5,0.06715507060289383
1000M,7,6,-0.09957469999790192
1000M,7,7,-0.038438670337200165
1000M,7,8,-0.1420082300901413
1000M,7,9,-0.042704492807388306
1000M,7,10,-0.013205451890826225
1000M,7,11,-0.010240207426249981
1000M,8,0,-0.4712080955505371
1000M,8,1,-0.02332717552781105
1000M,8,2,-0.01706390455365181
1000M,8,3,-0.02028193138539791
1000M,8,4,0.05964834988117218
1000M,8,5,0.03464408218860626
1000M,8,6,0.06262766569852829
1000M,8,7,0.023439355194568634
1000M,8,8,0.025008397176861763
1000M,8,9,-0.01095422450453043
1000M,8,10,0.07482074201107025
1000M,8,11,0.022778518497943878
1000M,9,0,0.03197230026125908
1000M,9,1,-0.07956656813621521
1000M,9,2,0.010010074824094772
1000M,9,3,0.02934645675122738
1000M,9,4,-0.019569827243685722
1000M,9,5,-0.18087299168109894
1000M,9,6,-0.012657560408115387
1000M,9,7,-0.10643378645181656
1000M,9,8,0.10190016776323318
1000M,9,9,-0.004066714085638523
1000M,9,10,-0.38008973002433777
1000M,9,11,-0.06272551417350769
1000M,10,0,0.034556083381175995
1000M,10,1,-0.011196925304830074
1000M,10,2,-0.09495450556278229
1000M,10,3,-0.007525831460952759
1000M,10,4,0.006421754602342844
1000M,10,5,-0.05255679041147232
1000M,10,6,0.08875832706689835
1000M,10,7,0.0916944369673729
1000M,10,8,0.04775327071547508
1000M,10,9,-0.08922184258699417
1000M,10,10,-0.0586438924074173
1000M,10,11,0.004629029426723719
1000M,11,0,-0.006905145011842251
1000M,11,1,-0.050725702196359634
1000M,11,2,0.03624792397022247
1000M,11,3,-0.13114705681800842
1000M,11,4,0.0025013212580233812
1000M,11,5,0.009256637655198574
1000M,11,6,0.021400343626737595
1000M,11,7,0.01519007794559002
1000M,11,8,-0.002548020798712969
1000M,11,9,0.053960170596838
1000M,11,10,-0.016807736828923225
1000M,11,11,-0.1366281509399414
