checkpoint,layer,head,dla_score
10M,6,4,0.007043235003948212
10M,6,5,-0.000547338102478534
10M,6,6,0.0025104167871177197
10M,6,7,0.0016814597183838487
10M,6,8,0.0016609091544523835
10M,6,9,0.0038155531510710716
10M,6,10,0.005612999200820923
10M,6,11,0.003065655007958412
10M,7,0,0.00026372281718067825
10M,7,1,0.0030626552179455757
10M,7,2,0.00031235854839906096
10M,7,3,0.012004196643829346
10M,7,4,-0.0037007033824920654
10M,7,5,-0.004559715744107962
10M,7,6,0.0016584893455728889
10M,7,7,0.005556652322411537
10M,7,8,-0.0015673715388402343
10M,7,9,0.00310442759655416
10M,7,10,0.0004540288064163178
10M,7,11,0.001674571307376027
10M,8,0,0.004597621504217386
10M,8,1,0.0053968289867043495
10M,8,2,0.0046869851648807526
10M,8,3,0.0037966622039675713
10M,8,4,0.0023622268345206976
10M,8,5,0.006266242358833551
10M,8,6,0.010125179775059223
10M,8,7,0.006978176534175873
10M,8,8,0.004256709944456816
10M,8,9,0.005570331588387489
10M,8,10,0.005635910667479038
10M,8,11,0.0025505616795271635
10M,9,0,0.007719413377344608
10M,9,1,0.0018238280899822712
10M,9,2,0.002001779153943062
10M,9,3,0.007121666334569454
10M,9,4,0.005258061923086643
10M,9,5,0.007111840881407261
10M,9,6,0.0064010340720415115
10M,9,7,0.011170991696417332
10M,9,8,0.006910441443324089
10M,9,9,0.007234454154968262
10M,9,10,0.00344748143106699
10M,9,11,0.005481352563947439
10M,10,0,0.0021920804865658283
10M,10,1,0.0036683613434433937
10M,10,2,0.005584175232797861
10M,10,3,0.012658456340432167
10M,10,4,0.002291850745677948
10M,10,5,0.0020356669556349516
10M,10,6,0.0020834198221564293
10M,10,7,0.010851996950805187
10M,10,8,0.002939016092568636
10M,10,9,0.003567368956282735
10M,10,10,0.007567960303276777
10M,10,11,0.0059015327133238316
10M,11,0,0.006249546073377132
10M,11,1,0.004885246977210045
10M,11,2,-0.0019726997707039118
10M,11,3,0.005790591239929199
10M,11,4,0.004228691104799509
10M,11,5,0.007354864850640297
10M,11,6,0.007673861924558878
10M,11,7,0.00810169242322445
10M,11,8,0.011168275028467178
10M,11,9,0.006720209959894419
10M,11,10,0.008799441158771515
10M,11,11,-0.001292763277888298
20M,0,0,-0.0025322551373392344
20M,0,1,0.002289907308295369
20M,0,2,0.00011418174835853279
20M,0,3,-0.0014371756697073579
20M,0,4,-0.0006318828091025352
20M,0,5,0.0027929209172725677
20M,0,6,-0.003335596527904272
20M,0,7,0.0008641842287033796
20M,0,8,-0.0011915245559066534
20M,0,9,-0.0011466819560155272
20M,0,10,-0.001469445414841175
20M,0,11,0.0011948724277317524
20M,1,0,0.0055233025923371315
20M,1,1,0.00028604723047465086
20M,1,2,0.001711744349449873
20M,1,3,-0.0037038896698504686
20M,1,4,-0.0037376624532043934
20M,1,5,0.005940485745668411
20M,1,6,0.005450948607176542
20M,1,7,0.010442010127007961
20M,1,8,0.00209678802639246
20M,1,9,0.008897332474589348
20M,1,10,0.006929471157491207
20M,1,11,-0.0015099416486918926
20M,2,0,0.00175796530675143
20M,2,1,0.0019843836780637503
20M,2,2,-0.0005331424181349576
20M,2,3,-0.00010792745160870254
20M,2,4,0.00014641818415839225
20M,2,5,0.005161198787391186
20M,2,6,0.004917509853839874
20M,2,7,0.0027131165843456984
20M,2,8,-0.0017555768135935068
20M,2,9,0.005189019721001387
20M,2,10,0.0058777472004294395
20M,2,11,0.003440252272412181
20M,3,0,-0.0025532622821629047
20M,3,1,0.004656625911593437
20M,3,2,0.005012433510273695
20M,3,3,0.005432590842247009
20M,3,4,-0.002294799080118537
20M,3,5,-0.00493885762989521
20M,3,6,0.013013758696615696
20M,3,7,0.005958987399935722
20M,3,8,0.0009519325103610754
20M,3,9,0.0018818299286067486
20M,3,10,-0.009464692324399948
20M,3,11,0.00430191308259964
20M,4,0,0.001314166933298111
20M,4,1,-0.004273236729204655
20M,4,2,0.0023804213851690292
20M,4,3,0.00092388252960518
20M,4,4,-0.0039869556203484535
20M,4,5,0.0005787315312772989
20M,4,6,0.0015236623585224152
20M,4,7,-0.00039931180072017014
20M,4,8,0.0006578241591341794
20M,4,9,0.006863778922706842
20M,4,10,0.005934151355177164
20M,4,11,-0.012999928556382656
20M,5,0,-0.0032253782264888287
20M,5,1,-0.004398643504828215
20M,5,2,0.007170019205659628
20M,5,3,0.004395840689539909
20M,5,4,0.01041489839553833
20M,5,5,-0.0018181343330070376
20M,5,6,0.004083980806171894
20M,5,7,0.007877901196479797
20M,5,8,0.010650482028722763
20M,5,9,0.0024697897024452686
20M,5,10,0.005284816026687622
20M,5,11,0.0042228782549500465
20M,6,0,0.004421675577759743
20M,6,1,-0.0052907527424395084
20M,6,2,0.013503049500286579
20M,6,3,0.0025260765105485916
20M,6,4,0.008778240531682968
20M,6,5,0.0017382237128913403
20M,6,6,0.007794642820954323
20M,6,7,0.006174730136990547
20M,6,8,0.0031978164333850145
20M,6,9,0.005629200953990221
